Entry_name,GH,PH_H1,GC_PreH1,DMY_H1_kgperha,PH_H2,GC_PreH2,DMY_H2_kgperha,PH_H3,GC_PreH3,DMY_H3_kgperha
G267,6.02,44.27,7,1586.94,32.51,6.5,1745.14,53.75,6.26,2766.08
G268,6.51,44.34,7,1559.03,37.93,6.25,1378.47,52.68,6.49,2311.43
G269,5.51,65.29,7.05,2466.71,39.34,5.73,1381.03,53.82,6.11,2495.59
G270,5.43,45.99,7.39,2257.29,39.37,6.65,1868.98,46.2,6.24,1623.48
G271,3.95,47.09,6.52,2318.63,41.4,6.08,1832.6,48.07,4.73,2583.92
G272,5.42,52.88,6.5,1398.39,40.86,7.32,1666.87,56.5,7.63,3594.87
G273,5.52,43.78,6.91,1653.19,43.07,6.74,2144.73,50.64,6,2578.19
G274,4.4,59.73,8.03,2603.9,40.99,5.36,1896.48,46.26,4.74,2000.63
G275,6.51,42.38,6.55,2299,41.48,6.22,1928.5,50.16,6.36,2865.54
G276,5.48,51.5,7.04,2376.73,37.53,6.21,2298.8,48.88,5.6,2094.59
G277,6.47,52.87,6.59,1616.64,39.59,6.01,1533.79,50.49,5.88,2376.18
G278,4.99,51.61,7.56,1477.23,32.08,6.51,1290.65,56.01,6.63,2884.61
G279,6.93,44.1,7.13,1409.52,34.7,6.84,1743.3,53.23,6.62,3118.66
G280,4.93,59.24,7.45,1951.08,34.93,6.5,1371.69,53.65,6.52,2315.3
G281,6.96,39.93,7.05,1815.91,37.82,6.19,1593.45,51.79,6.56,2860.11
G282,6.56,50.1,8.09,1727.29,42.17,7.03,2049.78,53.06,6.77,2580.34
G283,7.04,42.63,7.99,1817.62,29.41,6.44,1604.74,46.54,5.64,2090.63
G284,5.49,48.71,5.94,1680.94,42.05,5.58,1437.9,50.48,5.71,2759.98
G285,6.02,55.06,6.93,2268.43,38.79,4.92,2288.37,39.37,2.89,1441.03
G286,6.02,55.18,7.18,1988.36,39.73,6.76,1375.82,43.67,5.71,2041.15
G287,5.49,70.06,7,3335.03,31.22,5.86,1278.24,47.05,5.69,2338.84
